City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
108,tazovsky,67.4667,78.7,3.83,91,99,3.57,RU,1727185638
109,mwene-ditu,-7.0,23.45,34.91,17,100,3.44,CD,1727185639
110,san julian,21.0167,-102.1667,14.21,80,100,1.39,MX,1727185640
111,arteche,12.2645,125.4048,26.75,90,100,2.84,PH,1727185641
112,sinabang,2.4803,96.3801,27.04,83,100,3.61,ID,1727185642
113,utrik,11.2278,169.8474,28.07,77,20,3.64,MH,1727185643
114,jamestown,42.097,-79.2353,17.23,91,100,4.92,US,1727185529
115,tura,25.5198,90.2201,25.06,95,100,1.57,IN,1727185645
116,port alfred,-33.5906,26.891,18.43,89,99,3.58,ZA,1727185646
117,salinopolis,-0.6136,-47.3561,28.99,68,59,6.02,BR,1727185647
118,ulladulla,-35.35,150.4667,17.39,50,100,1.72,AU,1727185648
119,thompson,55.7435,-97.8558,7.09,100,75,0.0,CA,1727185462
120,naze,28.3667,129.4833,25.51,88,100,4.08,JP,1727185651
121,vilyuchinsk,52.9306,158.4028,6.15,82,92,3.06,RU,1727185652
122,tiksi,71.6872,128.8694,-1.12,80,100,5.75,RU,1727185653
123,plymouth,41.8334,-70.8328,17.71,77,40,1.34,US,1727185571
124,novodvinsk,64.4165,40.8122,9.86,57,100,3.11,RU,1727185655
125,holma,9.9008,13.0567,24.57,81,96,1.93,NG,1727185656
126,sadjoavato,-12.6334,49.349,24.56,57,76,6.27,MG,1727185657
127,ilulissat,69.2167,-51.1,5.01,75,40,0.0,GL,1727185658
128,aleksandrov gay,50.147,48.5704,16.78,23,100,5.82,RU,1727185659
129,kingston,17.997,-76.7936,29.53,70,75,5.14,JM,1727185660
130,yeniseysk,58.4497,92.1703,5.07,86,98,4.29,RU,1727185661
131,lazaro cardenas,17.9583,-102.2,25.74,90,100,3.7,MX,1727185662
132,berber,18.0216,33.983,41.03,13,0,1.54,SD,1727185664
133,invercargill,-46.4,168.35,6.68,87,87,3.13,NZ,1727185665
134,huarmey,-10.0681,-78.1522,18.15,88,88,2.62,PE,1727185666
135,daru,-9.0763,143.2092,25.52,89,78,5.9,PG,1727185667
136,imbituba,-28.24,-48.6703,24.56,65,0,8.0,BR,1727185669
137,petauke,-14.2426,31.3253,28.63,24,2,4.22,ZM,1727185670
